id,name,city,state,country,latitude,longitude
1,Pago Pago,Pago Pago,,American Samoa,,
2,Buenos Aires,Buenos Aires,,Argentina,,
3,Melbourne,Melbourne,,Australia,,
4,Brussels,Brussels,,Belgium,,
5,Bruge,Bruge,,Belgium,,
6,Belize City,Belize City,,Belize,,
7,Niagra Falls,Niagra Falls,,Canada,,
8,Vancouver,Vancouver,,Canada,,
9,Havana,Havana,,Cuba,,
10,Prague,Prague,,Czech Republic,,
11,London,London,,England,,
12,Paris,Paris,,France,,
13,Berlin,Berlin,,Germany,,
14,Reykjavik,Reykjavik,,Iceland,,
15,Dublin,Dublin,,Ireland,,
16,Galway,Galway,,Ireland,,
17,Dingle,Dingle,,Ireland,,
18,Cork,Cork,,Ireland,,
19,Rome,Rome,,Italy,,
20,Florence,Florence,,Italy,,
21,Milan,Milan,,Italy,,
22,Kyoto,Kyoto,,Japan,,
23,Osaka,Osaka,,Japan,,
24,Tokyo,Tokyo,,Japan,,
25,Nara,Nara,,Japan,,
26,Ixtapa,Ixtapa,,Mexico,,
27,Morelia,Morelia,,Mexico,,
28,Tangier,Tangier,,Morocco,,
29,Skeleton Coast,Skeleton Coast,,Namibia,,
30,Amsterdam,Amsterdam,,Netherlands,,
31,Wellington,Wellington,,New Zealand,,
32,Lima,Lima,,Peru,,
33,Lisbon,Lisbon,,Portugal,,
34,San Juan,San Juan,,Puerto Rico,,
35,Bucharest,Bucharest,,Romania,,
36,Glasgow,Glasgow,,Scottland,,
37,Cape Town,Cape Town,,South Africa,,
38,Busan,Busan,,South Korea,,
39,Barcelona,Barcelona,,Spain,,
40,Madrid ,Madrid ,,Spain,,
41,Malmo,Malmo,,Sweden,,
42,Bangkok,Bangkok,,Thailand,,
43,Istanbul,Istanbul,,Turkey,,
44,Cappadocia,Cappadocia,,Turkey,,
45,Birmingham,Birmingham,Alabama,US,,
46,San Francisco,San Francisco,California,US,,
47,Denver,Denver,Colorado,US,,
48,Washington DC,Washington DC,District of Columbia,US,,
49,Louisville,Louisville,Kentucky,US,,
50,New Orleans,New Orleans,Louisiana,US,,
51,Boston,Boston,Massachusetts,US,,
52,Las Vegas,Las Vegas,Nevada,US,,
53,New York City,New York City,New York,US,,
54,Saratoga Springs,Saratoga Springs,New York,US,,
55,Asheville,Asheville,North Carolina,US,,
56,Astoria,Astoria,Oregon,US,,
57,Philadelphia,Philadelphia,Pennsylvania,US,,
58,Charleston,Charleston,South Carolina,US,,
59,Chatanooga,Chatanooga,Tennessee,US,,
60,Nashville,Nashville,Tennessee,US,,
61,Austin,Austin,Texas,US,,
62,Bryce Canyon,Bryce Canyon,Utah,US,,
63,Seattle,Seattle,Washington,US,,
64,Ruby Beach,Ruby Beach,Washington,US,,
65,Yellowstone,Yellowstone,Wyoming,US,,